"","Name","Owner","Created","Pushed","Watchers","Forks","CRAN","Package","YearCreated"
"242","quantmod","joshuaulrich","2015-01-31","2015-07-24",40,37,"2015-07-24","CRAN","2015"
"243","devel","sjPlot","2014-12-03","2015-08-27",40,13,NA,"Other","2014"
"244","decumar","hadley","2008-08-08","2011-03-25",40,0,NA,"Other","2008"
"245","whisker","edwindj","2011-07-28","2015-07-31",40,8,"2013-04-28","CRAN","2011"
"246","datadr","tesseradata","2013-04-05","2015-06-17",40,10,NA,"Other","2013"
"247","muxViz","manlius","2013-11-18","2015-07-03",40,10,NA,"Other","2013"
"248","HiveR","bryanhanson","2011-10-23","2015-07-27",40,7,"2015-07-27","CRAN","2011"
"249","lazyeval","hadley","2014-08-12","2015-08-16",40,15,"2015-01-02","CRAN","2014"
"250","ggcounty","hrbrmstr","2014-04-17","2014-04-18",40,6,NA,"Other","2014"
"251","vegan","vegandevs","2012-02-13","2015-09-01",40,19,"2015-05-26","CRAN","2012"
"252","ComplexHeatmap","jokergoo","2015-01-29","2015-08-25",39,16,NA,"Other","2015"
"253","AzureML-Regression-Example","Quantia-Analytics","2014-11-06","2015-08-06",39,30,NA,"Other","2014"
"254","secure","hadley","2014-10-07","2014-10-24",39,6,NA,"Other","2014"
"255","R-vs-Python","sjmgarnier","2014-01-05","2014-03-12",39,9,NA,"Other","2014"
"256","gistr","ropensci","2014-05-21","2015-08-26",39,7,"2015-07-03","CRAN","2014"
"257","maxygen","gaborcsardi","2015-08-04","2015-08-05",39,1,NA,"Other","2015"
"258","ggally","ggobi","2011-02-19","2015-09-01",39,31,NA,"Other","2011"
"259","R2D3","jamesthomson","2014-07-12","2015-09-01",39,11,NA,"Other","2014"
"260","Mining_Twitter","gastonstat","2012-06-03","2012-06-04",38,33,NA,"Other","2012"
"261","rgithub","cscheid","2013-02-28","2015-08-17",38,15,NA,"Other","2013"
"262","R-Programs","ezgraphs","2010-07-15","2012-05-17",38,19,NA,"Other","2010"
