"","week","author","commits","total","project_total"
"535",25,"crowding",0,0,35
"536",25,"lianos",0,0,35
"537",25,"jrnold",0,0,35
"538",25,"davidmorrison",0,0,35
"539",25,"djmurphy420",0,0,35
"540",25,"wligtenberg",0,0,35
"541",25,"baptiste",0,0,35
"542",25,"jimhester",0,0,35
"543",25,"krlmlr",0,0,35
"544",25,"jiho",0,0,35
"545",25,"joranE",0,0,35
"546",25,"BrianDiggs",0,0,35
"547",25,"JakeRuss",0,0,35
"548",25,"kohske",0,0,35
"549",25,"wch",0,0,35
"550",25,"hadley",35,20842,35
"551",26,"rasmusab",0,0,31
"552",26,"kloesing",0,0,31
"553",26,"briandk",0,0,31
"554",26,"dariobuttari",0,0,31
"555",26,"yihui",0,0,31
"556",26,"lehy",0,0,31
"557",26,"crowding",0,0,31
"558",26,"lianos",0,0,31
"559",26,"jrnold",0,0,31
"560",26,"davidmorrison",0,0,31
"561",26,"djmurphy420",0,0,31
"562",26,"wligtenberg",0,0,31
"563",26,"baptiste",0,0,31
"564",26,"jimhester",0,0,31
"565",26,"krlmlr",0,0,31
"566",26,"jiho",0,0,31
"567",26,"joranE",0,0,31
"568",26,"BrianDiggs",0,0,31
"569",26,"JakeRuss",0,0,31
"570",26,"kohske",0,0,31
"571",26,"wch",0,0,31
"572",26,"hadley",31,20873,31
"573",27,"rasmusab",0,0,0
"574",27,"kloesing",0,0,0
"575",27,"briandk",0,0,0
"576",27,"dariobuttari",0,0,0
"577",27,"yihui",0,0,0
"578",27,"lehy",0,0,0
"579",27,"crowding",0,0,0
"580",27,"lianos",0,0,0
"581",27,"jrnold",0,0,0
"582",27,"davidmorrison",0,0,0
"583",27,"djmurphy420",0,0,0
"584",27,"wligtenberg",0,0,0
"585",27,"baptiste",0,0,0
"586",27,"jimhester",0,0,0
"587",27,"krlmlr",0,0,0
"588",27,"jiho",0,0,0
"589",27,"joranE",0,0,0
"590",27,"BrianDiggs",0,0,0
"591",27,"JakeRuss",0,0,0
"592",27,"kohske",0,0,0
"593",27,"wch",0,0,0
"594",27,"hadley",0,20873,0
"595",28,"rasmusab",0,0,51
"596",28,"kloesing",0,0,51
"597",28,"briandk",0,0,51
"598",28,"dariobuttari",0,0,51
"599",28,"yihui",0,0,51
"600",28,"lehy",0,0,51
"601",28,"crowding",0,0,51
"602",28,"lianos",0,0,51
"603",28,"jrnold",0,0,51
"604",28,"davidmorrison",0,0,51
"605",28,"djmurphy420",0,0,51
"606",28,"wligtenberg",0,0,51
"607",28,"baptiste",0,0,51
"608",28,"jimhester",0,0,51
"609",28,"krlmlr",0,0,51
"610",28,"jiho",0,0,51
"611",28,"joranE",0,0,51
"612",28,"BrianDiggs",0,0,51
"613",28,"JakeRuss",0,0,51
"614",28,"kohske",0,0,51
"615",28,"wch",0,0,51
"616",28,"hadley",51,20924,51
"617",29,"rasmusab",0,0,105
"618",29,"kloesing",0,0,105
"619",29,"briandk",0,0,105
"620",29,"dariobuttari",0,0,105
"621",29,"yihui",0,0,105
"622",29,"lehy",0,0,105
"623",29,"crowding",0,0,105
"624",29,"lianos",0,0,105
"625",29,"jrnold",0,0,105
"626",29,"davidmorrison",0,0,105
"627",29,"djmurphy420",0,0,105
"628",29,"wligtenberg",0,0,105
"629",29,"baptiste",0,0,105
"630",29,"jimhester",0,0,105
"631",29,"krlmlr",0,0,105
"632",29,"jiho",0,0,105
"633",29,"joranE",0,0,105
"634",29,"BrianDiggs",0,0,105
"635",29,"JakeRuss",0,0,105
"636",29,"kohske",0,0,105
"637",29,"wch",0,0,105
"638",29,"hadley",105,21029,105
"639",30,"rasmusab",0,0,12
"640",30,"kloesing",0,0,12
"641",30,"briandk",0,0,12
"642",30,"dariobuttari",0,0,12
"643",30,"yihui",0,0,12
"644",30,"lehy",0,0,12
"645",30,"crowding",0,0,12
"646",30,"lianos",0,0,12
